,observation,module
0,SoilDepthRootable,common
1,SoilDepthRootableClass,common
2,FragmentCover,common
3,CracksWidth,common
4,ColourDry,common
5,InfiltrationRateNumeric,common
6,CracksDistance,common
7,RockAbundance,common
8,InfiltrationRateClass,common
9,OrganicMatterClass,common
10,BleachedSand,common
11,FragmentSize,common
12,SoilDepth,common
13,SoilDepthBedrock,common
14,RockSize,common
15,RockShape,common
16,CracksDepth,common
17,WeatheringFragments,common
18,Texture,common
19,ColourWet,common
20,SoilDepthSampled,common
21,SoilCarbonDensity,property
22,CarbonatesForms,layerhorizon
23,TextureFieldClass,layerhorizon
24,VoidsClassification,layerhorizon
25,GypsumWeight,layerhorizon
26,SolubleCationsTotal,layerhorizon
27,PoresSize,layerhorizon
28,WetPlasticity,layerhorizon
29,Salt,layerhorizon
30,GypsumForms,layerhorizon
31,MottlesContrast,layerhorizon
32,RootsPresence,layerhorizon
33,BoundaryTopography,layerhorizon
34,CementationNature,layerhorizon
35,MottlesSize,layerhorizon
36,PhysioChemical,layerhorizon
37,CationExchangeCapacityEffective,layerhorizon
38,ElectricalConductivity,layerhorizon
39,CoatingNature,layerhorizon
40,StructureGrade,layerhorizon
41,VoidsDiameter,layerhorizon
42,CoatingAbundance,layerhorizon
43,OxalateExtractableOpticalDensity,layerhorizon
44,BoundaryDistinctness,layerhorizon
45,CoatingLocation,layerhorizon
46,CationsSum,layerhorizon
47,MineralConcHardness,layerhorizon
48,MineralConcSize,layerhorizon
49,Porosity,layerhorizon
50,MoistConsistency,layerhorizon
51,Silt,layerhorizon
52,Clay,layerhorizon
53,ConsistenceMoist,layerhorizon
54,SandyTexture,layerhorizon
55,BiologicalAbundance,layerhorizon
56,TextureLabClass,layerhorizon
57,BulkDensityMineral,layerhorizon
58,MottlesColour,layerhorizon
59,DryConsistency,layerhorizon
60,MineralConcKind,layerhorizon
61,Sand,layerhorizon
62,GypsumContent,layerhorizon
63,MineralConcColour,layerhorizon
64,SolubleAnionsTotal,layerhorizon
65,StructureSize,layerhorizon
66,RootsAbundance,layerhorizon
67,SaltContent,layerhorizon
68,CoatingForm,layerhorizon
69,BulkDensityPeat,layerhorizon
70,PoresAbundance,layerhorizon
71,pH,layerhorizon
72,Stickiness,layerhorizon
73,MineralFragments,layerhorizon
74,PeatVolume,layerhorizon
75,AluminiumExtractableElements,layerhorizon
76,BiologicalFeatures,layerhorizon
77,BulkDensityWholeSoil,layerhorizon
78,MottlesAbundance,layerhorizon
79,MineralContent,layerhorizon
80,HydraulicConductivity,layerhorizon
81,CoatingContrast,layerhorizon
82,MineralConcNature,layerhorizon
83,WaterRetention,layerhorizon
84,MineralConcAbundance,layerhorizon
85,ParticleSizeFractionsSum,layerhorizon
86,MottlesBoundaryClassification,layerhorizon
87,PeatDecompostion,layerhorizon
88,Fragments,layerhorizon
89,MineralConcShape,layerhorizon
90,MineralConcVolume,layerhorizon
91,CationExchangeCapacity,layerhorizon
92,Plasticity,layerhorizon
93,BulkDensityFineEarth,layerhorizon
94,PeatDrainage,layerhorizon
95,MottlesPresence,layerhorizon
96,CementationDegree,layerhorizon
97,CementationContinuity,layerhorizon
98,ConsistenceDry,layerhorizon
99,CementationFabric,layerhorizon
100,PorosityClass,layerhorizon
101,MoistureContent,layerhorizon
102,CarbonatesContent,layerhorizon
103,SoilClassificationWRB,profile
104,SoilClassificationFAO,profile
105,SoilClassificationUSDA,profile
106,ProfileDescriptionStatus,profile
107,HumanInfluenceClass,siteplot
108,ErosionCategory,siteplot
109,WeatherCurrent,siteplot
110,WeatheringRock,siteplot
111,LandUseShrubs,siteplot
112,ParentTextureUnconsolidated,siteplot
113,KoeppenClass,siteplot
114,ErosionAreaAffected,siteplot
115,ParentDeposition,siteplot
116,RockOutcropsCover,siteplot
117,ErosionTotalAreaAffected,siteplot
118,RockOutcropsDistance,siteplot
119,FloodDuration,siteplot
120,LandformComplex,siteplot
121,FloodFrequency,siteplot
122,SlopeOrientationNumeric,siteplot
123,WeatherPast,siteplot
124,ErosionDegree,siteplot
125,SlopeGradientNumeric,siteplot
126,SlopeOrientationClass,siteplot
127,LandUsePavedCover,siteplot
128,ParentLithology,siteplot
129,SlopePathways,siteplot
130,VegetationClass,siteplot
131,TreeDensity,siteplot
132,LandUseGrass,siteplot
133,Lithology,siteplot
134,SlopeForm,siteplot
135,SurfaceAge,siteplot
136,LandUseBareCover,siteplot
137,Geology,siteplot
138,LandUseForest,siteplot
139,ErosionActivityPeriod,siteplot
140,SlopeGradientClass,siteplot
141,LandUseClass,siteplot
142,GroundwaterDepth,siteplot
143,MajorLandForm,siteplot
144,CropClass,siteplot
145,Physiography,siteplot
146,SaltThickness,surface
147,SaltPresence,surface
148,SaltCover,surface
149,SealingThickness,surface
150,SealingConsistence,surface
